station,termin,prestas0,tre200s0,rre150z0,fkl010z1,ua2200s0,ta1200s0,ta2200s0,ra1150z0,ua1200s0,fkl010z0,dkl010z0,gor000z0,uor200s0,da1010z0,fa1010z0,pa1stas0,ycoml1s0,ycomirs0
10769,20210821100000,661.30,7.20,None,None,None,None,None,None,None,3.50,5.00,288.00,89.50,None,None,None,None,1.00
10769,20210821110000,660.80,7.20,None,None,None,None,None,None,None,6.80,6.00,409.00,90.20,None,None,None,None,1.00
10769,20210821120000,660.50,7.30,None,None,None,None,None,None,None,4.90,348.00,209.00,90.90,None,None,None,None,1.00
10769,20210821130000,660.30,7.20,None,None,None,None,None,None,None,6.00,305.00,212.00,87.90,None,None,None,None,1.00
10769,20210821140000,660.30,6.30,None,None,None,None,None,None,None,2.90,302.00,155.00,93.50,None,None,None,None,1.00
10769,20210821150000,660.30,6.40,None,None,None,None,None,None,None,2.00,9.00,47.00,91.60,None,None,None,None,1.00
10769,20210821160000,660.80,5.50,None,None,None,None,None,None,None,1.60,19.00,0.00,95.50,None,None,None,None,1.00
10769,20210821170000,660.70,5.70,None,None,None,None,None,None,None,2.30,88.00,0.00,90.20,None,None,None,None,1.00
10769,20210821180000,660.90,4.90,None,None,None,None,None,None,None,0.60,247.00,0.00,84.40,None,None,None,None,1.00
10769,20210821190000,661.50,3.90,None,None,None,None,None,None,None,0.00,0.00,0.00,88.50,None,None,None,None,1.00
10769,20210821200000,661.50,3.80,None,None,None,None,None,None,None,2.20,194.00,0.00,80.40,None,None,None,None,1.00
10769,20210821210000,661.10,3.50,None,None,None,None,None,None,None,1.50,191.00,0.00,80.90,None,None,None,None,1.00
10769,20210821220000,660.80,4.00,None,None,None,None,None,None,None,2.00,203.00,0.00,76.30,None,None,None,None,1.00
10769,20210821230000,660.30,2.80,None,None,None,None,None,None,None,1.80,170.00,0.00,75.20,None,None,None,None,1.00
10769,20210822000000,659.90,2.60,None,None,None,None,None,None,None,3.20,186.00,0.00,69.40,None,None,None,None,1.00
10769,20210822010000,659.80,4.50,None,None,None,None,None,None,None,1.70,194.00,0.00,55.40,None,None,None,None,1.00
10769,20210822020000,660.10,2.30,None,None,None,None,None,None,None,1.90,187.00,0.00,63.90,None,None,None,None,1.00
10769,20210822030000,660.10,1.40,None,None,None,None,None,None,None,2.50,132.00,0.00,69.60,None,None,None,None,1.00
10769,20210822040000,660.40,2.40,None,None,None,None,None,None,None,2.30,164.00,94.00,62.60,None,None,None,None,1.00
10769,20210822050000,661.20,8.80,None,None,None,None,None,None,None,0.90,235.00,320.00,38.20,None,None,None,None,1.00
10769,20210822060000,661.60,8.70,None,None,None,None,None,None,None,2.00,262.00,554.00,44.00,None,None,None,None,1.00
10769,20210822070000,662.10,7.50,None,None,None,None,None,None,None,3.80,307.00,206.00,59.70,None,None,None,None,1.00
10769,20210822080000,662.10,7.80,None,None,None,None,None,None,None,2.60,294.00,277.00,77.90,None,None,None,None,1.00
10769,20210822090000,661.90,6.60,None,None,None,None,None,None,None,2.10,331.00,40.00,90.80,None,None,None,None,1.00
10769,20210822100000,661.60,7.00,None,None,None,None,None,None,None,3.50,339.00,402.00,86.10,None,None,None,None,1.00
10769,20210822110000,660.90,8.60,None,None,None,None,None,None,None,4.60,294.00,851.00,79.50,None,None,None,None,1.00
10769,20210822120000,660.60,6.80,None,None,None,None,None,None,None,1.40,347.00,94.00,85.30,None,None,None,None,1.00
10769,20210822130000,660.50,8.20,None,None,None,None,None,None,None,3.70,324.00,321.00,77.40,None,None,None,None,1.00
10769,20210822140000,660.50,8.10,None,None,None,None,None,None,None,2.50,283.00,170.00,80.00,None,None,None,None,1.00
10769,20210822150000,660.60,7.60,None,None,None,None,None,None,None,4.10,48.00,49.00,86.20,None,None,None,None,1.00
10769,20210822160000,660.70,6.00,None,None,None,None,None,None,None,2.10,304.00,0.00,92.20,None,None,None,None,1.00
10769,20210822170000,660.60,4.40,None,None,None,None,None,None,None,1.80,148.00,0.00,85.80,None,None,None,None,1.00
10769,20210822180000,660.80,2.80,None,None,None,None,None,None,None,2.40,114.00,0.00,87.60,None,None,None,None,1.00
10769,20210822190000,661.40,4.90,None,None,None,None,None,None,None,1.50,228.00,0.00,79.00,None,None,None,None,1.00
10769,20210822200000,661.50,3.90,None,None,None,None,None,None,None,0.80,182.00,0.00,79.10,None,None,None,None,1.00
10769,20210822210000,661.10,2.60,None,None,None,None,None,None,None,1.90,142.00,0.00,81.50,None,None,None,None,1.00
10769,20210822220000,660.50,4.40,None,None,None,None,None,None,None,0.50,333.00,0.00,63.10,None,None,None,None,1.00
