12:33:08   14.08.2022              Programm Climap                 MeteoSchweiz
Zeitangaben in UTC 0040 (UTC)  =  01:40 Uhr Winterzeit  =  02:40 Uhr Sommerzeit
Auswahlperiode: 01.01.2020 00:00  -  31.12.2020 23:50 UTC 32767 -> Keine Angabe
Anzahl Stationen  1
  10769	Mont Kenya              3678 m.ü.M.	     0/      0
Anzahl Parameter  6
    90  Luftdruck auf Barometerhöhe (QFE); Momentanwert  [hPa]
    91  Lufttemperatur 2 m über Boden; Momentanwert  [°C]
   196  Windgeschwindigkeit skalar; Zehnminutenmittel  [m/s]
   197  Windrichtung; Zehnminutenmittel  [°]
   321  Original Luftfeuchtigkeit 2 m über Boden; Momentanwert  [%]
   285  Original Globalstrahlung; Zehnminutenmittel  [W/m²]

  STA JAHR MO TG HH MM    90    91   196   197   321   285
10769 2020  1  3  0 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  0 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  0 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  0 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  1  0 660.9   4.8   6.4    94  95.7     0 
10769 2020  1  3  1 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  1 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  1 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  1 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  1 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  2  0 661.0   4.5   9.5   109  91.6     0 
10769 2020  1  3  2 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  2 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  2 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  2 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  2 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  3  0 661.3   4.4   9.5   112  90.8     0 
10769 2020  1  3  3 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  3 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  3 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  3 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  3 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  4  0 661.9   4.3   7.0   110  91.6    17 
10769 2020  1  3  4 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  4 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  4 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  4 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  4 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  5  0 662.2   4.9  11.4   111  88.6   117 
10769 2020  1  3  5 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  5 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  5 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  5 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  5 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  6  0 662.5   5.8  11.6   112  82.8   186 
10769 2020  1  3  6 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  6 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  6 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  6 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  6 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  7  0 662.5   7.2   6.5   113  78.3   348 
10769 2020  1  3  7 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  7 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  7 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  7 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  7 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  8  0 662.5   9.9   5.8    88  68.7   838 
10769 2020  1  3  8 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  8 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  8 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  8 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  8 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  9  0 662.3   9.0   9.3   108  65.5   531 
10769 2020  1  3  9 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  9 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  9 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  9 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  9 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  3 10  0 661.9   8.9   4.1    91  71.1   366 
10769 2020  1  3 10 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  3 10 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  3 10 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  3 10 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  3 10 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  3 11  0 661.4  12.1   6.4   135  57.3  1070 
10769 2020  1  3 11 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  3 11 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  3 11 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  3 11 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  3 11 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  3 12  0 661.1   9.7   3.8    73  75.9   381 
10769 2020  1  3 12 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  3 12 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  3 12 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  3 12 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  3 12 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  3 13  0 660.7   9.3   8.7   113  77.3   712 
10769 2020  1  3 13 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  3 13 20 32767 32767 32767 32767 32767 32767 
